trial,agent,k,sil
60,dbscan,5,0.4153336740669677
61,human,2,0.19091916056271038
61,gmm,7,0.41383916988116054
61,dbscan,7,0.2968799907871945
62,human,2,0.3253999695483943
62,gmm,1,
62,dbscan,4,0.31217425023605666
63,human,2,0.4042626587085921
63,gmm,8,0.34681609569205735
63,dbscan,1,
64,human,2,0.3608688113459521
64,gmm,8,0.46909417482119736
64,dbscan,5,0.35964300447429615
65,human,2,0.2934608565527909
65,gmm,1,
65,dbscan,5,0.3127332228622638
66,human,2,0.5039080624372523
66,gmm,2,0.5084190736730574
66,dbscan,10,0.3122080105465206
67,human,2,0.4093975027682399
67,gmm,8,0.33779716799515996
67,dbscan,5,0.4706866209886451
68,human,3,0.131920373531337
68,gmm,8,0.47711887022021243
68,dbscan,3,0.2151765223733977
69,human,2,0.41863502466240105
69,gmm,1,
69,dbscan,8,0.41936541024204904
70,human,3,0.30329853320794503
70,gmm,7,0.5473991894604074
70,dbscan,7,0.48655127480442195
71,human,2,0.38082689416189575
71,gmm,8,0.2800594536364459
71,dbscan,2,0.028907271545995452
72,human,4,-0.010248632949798045
72,gmm,8,0.4497582449614434
72,dbscan,6,0.40489335189054154
73,human,2,0.3492450054855628
73,gmm,8,0.3224844024675161
73,dbscan,3,0.6443316798728668
74,human,2,0.4831434546498696
74,gmm,1,
74,dbscan,13,0.4411574452742846
75,human,2,0.4106207605965895
75,gmm,8,0.3892827778810225
75,dbscan,6,0.3749837386128673
76,human,3,0.15842047531286832
76,gmm,1,
76,dbscan,7,0.15553712996968883
77,human,3,0.29892476677855184
77,gmm,1,
77,dbscan,11,0.5103020154481417
78,human,2,0.4176983740337119
78,gmm,8,0.48103562380359066
78,dbscan,8,0.5601012928261464
79,human,2,0.3468107680518694
79,gmm,7,0.42048053002816743
79,dbscan,2,0.3468107680518694
80,human,2,0.4662799648819783
80,gmm,2,0.45687190864576444
80,dbscan,10,0.33775231955228074
81,human,2,0.22475126122610917
81,gmm,8,0.33216596406146603
81,dbscan,2,0.1676087672262985
82,human,2,0.47427827791956767
82,gmm,8,0.25537479528681467
82,dbscan,4,0.5168514391285018
83,human,2,0.4316095588540307
83,gmm,8,0.27378580651216583
83,dbscan,4,0.6976565449294931
84,human,3,0.21215035346055647
84,gmm,8,0.4252183365256392
84,dbscan,7,0.28272031657392455
85,human,2,0.34373861457642135
85,gmm,8,0.10645946299859359
85,dbscan,2,0.31781281284144763
86,human,2,0.3924478797701613
86,gmm,8,0.36641621587983275
86,dbscan,4,0.3793660171080533
87,human,3,0.1725131826259427
87,gmm,8,0.41181654415281255
87,dbscan,1,
88,human,2,0.44865341075147275
88,gmm,7,0.35998962890167857
88,dbscan,2,0.14134003761741115
89,human,3,0.21127075186894806
89,gmm,1,
89,dbscan,3,0.28514417814493426
90,human,3,-0.32420088310725265
90,gmm,8,0.42427543967368275
