condition,person_hash,n_mid,observed_k,predicted_k,n_oos_predictions
exp4,person_111,40.0,5.777777777777778,4.686400000000001,20
exp4,person_112,12.5,3.4375,3.809375,20
exp4,person_112,22.5,4.0,4.1732625,20
exp4,person_112,32.5,4.555555555555555,4.367075,20
exp4,person_112,40.0,5.142857142857143,4.605925,20
exp4,person_113,12.5,3.3529411764705883,3.8922499999999998,20
exp4,person_113,22.5,3.8125,4.302275,20
exp4,person_113,32.5,3.9230769230769225,4.4481625000000005,20
exp4,person_113,40.0,4.1,4.678262500000001,20
exp4,person_114,12.5,3.0,3.8571625,20
exp4,person_114,22.5,3.230769230769231,4.28645,20
exp4,person_114,32.5,3.111111111111111,4.422675,20
exp4,person_114,40.0,3.111111111111111,4.6736125,20
exp4,person_117,12.5,3.3333333333333335,3.756925,20
exp4,person_117,22.5,3.6666666666666665,4.196350000000001,20
exp4,person_117,32.5,3.6875,4.3660125,20
exp4,person_117,40.0,3.5,4.640912500000001,20
exp4,person_118,12.5,2.857142857142857,3.8293,20
exp4,person_118,22.5,3.3529411764705883,4.2233374999999995,20
exp4,person_118,32.5,4.0,4.386950000000001,20
